City,State,Population
New York,New York,8398748
Los Angeles,California,3990456
Chicago,Illinois,2705994
Houston,Texas,2320268
Phoenix,Arizona,1680992
Philadelphia,Pennsylvania,1584138
San Antonio,Texas,1547253
San Diego,California,1423851
Dallas,Texas,1343573
San Jose,California,1030119
Austin,Texas,964254
Jacksonville,Florida,903889
Indianapolis,Indiana,876862
San Francisco,California,883305
Columbus,Ohio,892533
Fort Worth,Texas,895008
Charlotte,North Carolina,792862
Detroit,Michigan,673104
El Paso,Texas,681124
Seattle,Washington,753675
